Title,Author,ISBN,branch_counts
!buenos nachos!,"hamadey, gina",0989888231,"{""cen"": 1}"
!esperar no es fácil!,"willems, mo",148478698X,"{""cen"": 2, ""mob"": 1}"
!estamos en un libro!,"willems, mo",1484722884,"{""cen"": 1}"
!mi amigo esta triste!,"willems, mo",1368045758,"{""cen"": 2, ""glk"": 1}"
!no dejes que la paloma conduzca el autobus!,"willems, mo",1423140524,"{""cen"": 2}"
!qué confusión!,"machado, ana maria, 1941-",6070117123,"{""cen"": 1}"
#1 suspect,"patterson, james, 1947-",0316196312,"{""cen"": 1}"
#1960now : photographs of civil rights activists and black lives matter protests,"bright, sheila pree",145217072X,"{""dth"": 1}"
#butgod : the power of hope when catastrophe crashes in,"freeman, jeremy, 1977-",1400238285,"{""cen"": 1}"
#chill : turn off your job and turn on your life,"robinson, bryan e.",0062896016,"{""cap"": 1, ""net"": 1}"
#churchtoo : how purity culture upholds abuse and how to find healing,"allison, emily joy",1506464815,"{""cen"": 2, ""lcy"": 1}"
#donotdisturb : how i ghosted my cell phone to take back my life,"bila, jedediah,",0062797069,"{""cen"": 1, ""fre"": 1}"
"#drcl midnight children. 01, envoy from the east","sakamoto, shin'ichi, 1972-",1974740889,"{""cen"": 1, ""lcy"": 1, ""net"": 1, ""qna"": 1, ""swt"": 1}"
#drcl midnight children. 02,"sakamoto, shin'ichi, 1972-",1974743136,"{""bal"": 1, ""bea"": 1, ""cen"": 1, ""glk"": 1, ""swt"": 1}"
#drcl midnight children. 03,"sakamoto, shin'ichi, 1972-",1974748685,"{""bro"": 1, ""cen"": 1, ""dth"": 1, ""rbe"": 1}"
#drcl midnight children. 04,"sakamoto, shin'ichi, 1972-",1974752038,"{""cap"": 1, ""cen"": 1, ""hip"": 1, ""mag"": 1, ""nga"": 1}"
#drcl midnight children. 05,"sakamoto, shin'ichi, 1972-",197475782X,"{""bal"": 1, ""cen"": 1, ""hip"": 1, ""net"": 1, ""rbe"": 1}"
"#eat for the planet : saving the world, one bite at a time","zacharias, nil",1419729101,"{""cen"": 1, ""gwd"": 1, ""wts"": 1}"
"#eat meat less : good for animals, the earth & all",jane goodall institute,1681885379,"{""bro"": 1, ""cen"": 2, ""lcy"": 1, ""rbe"": 1}"
"#ellos hablan : testimonios de hombres, la relación con sus padres, el machismo y la violencia","cacho, lydia, 1963-",6073167148,"{""cen"": 1}"
