title,author,average_rating,rating_number,description,images,categories,parent_asin
Chaucer,"{'avatar': 'https://m.media-amazon.com/images/I/21Je2zja9pL._SY600_.jpg', 'name': 'Peter Ackroyd', 'about': ['Peter Ackroyd, (born 5 October 1949) is an English biographer, novelist and critic with a particular interest in the history and culture of London. For his novels about English history and culture and his biographies of, among others, William Blake, Charles Dickens, T. S. Eliot and Sir Thomas More, he won the Somerset Maugham Award and two Whitbread Awards. He is noted for the volume of work he has produced, the range of styles therein, his skill at assuming different voices and the depth of his research.', 'He was elected a fellow of the Royal Society of Literature in 1984 and appointed a Commander of the Order of the British Empire in 2003.', 'Bio from Wikipedia, the free encyclopedia.']}",4.5,29,[],"[{'large': 'https://m.media-amazon.com/images/I/41X61VPJYKL._SX334_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",['Literature & Fiction'],0701169850
Notes from a Kidwatcher,"{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'Yetta M. Goodman', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}",5.0,1,"['About the Author', ""SANDRA WILDE, Ph.D., is widely recognized for her expertise in developmental spelling and her advocacy of holistic approaches to spelling and phonics. She is Professor of Curriculum and Instruction at Portland State University in Oregon. She is best known for her work in invented spelling, phonics and miscue analysis. She specializes in showing teachers how kids' invented spellings and miscues can help us work with them in more sophisticated and learner-centered ways. Looking at what kids do as they read and write is at the heart of Sandra's presentations and workshops. She can do lively keynote presentations that highlight the interesting things that we can learn by paying close attention to students' invented spellings and miscues, as well as workshops of varying lengths that focus on student-centered teaching of spelling and phonics. She has recently begun offering workshops that focus on understanding students' miscues as a guide to appropriate instruction, p""]","[{'large': 'https://m.media-amazon.com/images/I/41bfTRxpMML._SX218_BO1,204,203,200_QL40_FMwebp_.jpg', 'variant': 'MAIN'}]",[],0435088688
Service: A Navy SEAL at War,"{'avatar': 'https://m.media-amazon.com/images/I/31rBoNEHiFL._SY600_.jpg', 'name': 'Marcus Luttrell', 'about': ['Petty Officer First Class Marcus Luttrell was born in Huntsville, Texas in 1975.']}",4.7,3421,"['Review', 'Praise for SERVICE""An action-packed...reflective saga of contemporary military service.""―', 'Kirkus Reviews', '""Marcus Luttrell, with James D. Hornfischer, has written another emotional story that the reader will not want to put down.""―', 'American Thinker', 'About the Author', 'Marcus Luttrell', 'became a combat-trained Navy SEAL in 2002 and served in many dangerous Special Operations assignments around the world. He is the author of the', 'New York Times', 'bestseller', 'Lone Survivor', ', and is a popular corporate and organizational speaker. He lives near Houston, Texas.\xa0James D. Hornfischer\xa0is the author of four bestselling books on the U.S. Navy in World War II,', 'The Fleet at Flood', 'Tide', ',', ""Neptune's"", 'Inferno, Ship of Ghosts,', 'and', 'The Last Stand of the Tin Can Sailors,', 'winner of the Samuel Eliot Morison Award. He lives in Austin, Texas.']","[{'large': 'https://m.media-amazon.com/images/I/41YQHDWRyGL._SX321_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",['Biographies & Memoirs'],0316185361
Monstrous Stories #4: The Day the Mice Stood Still,,4.4,40,[],"[{'large': 'https://m.media-amazon.com/images/I/614Mx0QCe7L._SX339_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]","[""Children's Books"", 'Science Fiction & Fantasy']",0545425573
Parker & Knight,"{'avatar': 'https://m.media-amazon.com/images/S/amzn-author-media-prod/p5em8p7bskq0m3fr3tncs8ghcf._SY600_.jpg', 'name': 'Donald Wells', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}",4.5,381,[],"[{'large': 'https://m.media-amazon.com/images/I/41j6GpAqFBL.jpg', 'variant': 'MAIN'}]","['Mystery, Thriller & Suspense', 'Thrillers & Suspense']",B00KFOP3RG
"Writings from a Black Woman Living in the Land of the ""Free"": Strength, Power, Resilience",,5.0,5,[],"[{'large': 'https://m.media-amazon.com/images/I/417CItk7HML._SX387_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",['Arts & Photography'],B09PHG4FQ8
Child Development: A Practitioner's Guide:2nd (Second) edition,,5.0,2,[],"[{'large': 'https://m.media-amazon.com/images/I/41b2UvkHaAL._SX331_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",[],B0086HQWC4
Make: Electronics: Learning Through Discovery,"{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'Charles Platt', 'about': ['Charles Platt is a Contributing Editor and regular columnist for Make magazine, where he writes about electronics. He is the author of the highly successful introductory hands-on book, Make: Electronics, and the sequel, Make: More Electronics.', 'His book Easy Electronics claims to be the easiest available introduction to the field. His Make: Tools provides a hands-on introduction to workshop tools.', ""Platt's ambitious reference work, Encyclopedia of Electronic Components, consists of three volumes, two of which were coauthored with physicist Fredrik Jannson."", 'Platt was a Senior Writer for Wired magazine. As a prototype designer, he created semi-automated rapid cooling devices with medical applications, and air-deployable equipment for first responders. He was the sole author of four mathematical-graphics software packages, and has been fascinated by electronics since he put together a telephone answering machine from a tape recorder and military-surplus relays at age 15. He lives in a Northern Arizona wilderness area, where he has his own workshop for prototype fabrication and projects that he writes about for Make magazine.']}",4.7,1366,"['From the Author', 'Make: Electronics', 'is the book that I wish I had owned when I was a young teenager, struggling to learn the basics of electricity and electronics. My goal is to give readers today an easier learning experience than the one I had to go through. And I want it to be fun.', 'About the Author', 'Charles Platt is a Contributing Editor and regular columnist for Make magazine, where he writes about electronics. He is the author of the highly successful introductory hands-on book, Make:Electronics, and is writing a sequel to that book in addition to volumes 2 and 3 of the Encyclopedia of Electronic Components. Platt was a Senior Writer for Wired magazine, and has written various computer books. As a prototype designer, he created semi-automated rapid cooling devices with medical applications, and air-deployable equipment for first responders. He was the sole author of four mathematical-graphics software packages, and has been fascinated by electronics since he put together a telephone answering machine from a tape recorder and military-surplus relays at age 15. He lives in a Northern Arizona wilderness area, where he has his own workshop for prototype fabrication and projects that he writes about for Make magazine.']","[{'large': 'https://m.media-amazon.com/images/I/51j48HH1P9L._SX218_BO1,204,203,200_QL40_FMwebp_.jpg', 'variant': 'MAIN'}]",[],1680450263
Reunion: The Children of Lauderdale Park,,4.9,12,[],"[{'large': 'https://m.media-amazon.com/images/I/313xN7wqDQL._SX331_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]","['Literature & Fiction', 'Genre Fiction']",1694621731
Four Centuries of American Education,"{'avatar': 'https://m.media-amazon.com/images/S/amzn-author-media-prod/qfqm5r5qdmqd4fdqvn24c8ra7j._SY600_.jpg', 'name': 'David Barton', 'about': [""David Barton is the founder of WallBuilders, an organization dedicated to presenting America's forgotten history and heroes, with an emphasis on our moral, religious, and constitutional heritage. David is author of numerous best-selling works and a national award-winning historian who brings a fresh perspective to history.""]}",4.8,133,"['About the Author', ""David Barton is the founder of WallBuilders, an organization dedicated to presenting America's forgotten history and heroes, with an emphasis on our moral, religious, and constitutional heritage. David is author of numerous best-selling works and a national award-winning historian who brings a fresh perspective to history.""]","[{'large': 'https://m.media-amazon.com/images/I/415r5RJ7alL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg', 'variant': 'MAIN'}]",[],1932225323
